backend,grid,cutoff,sampling_grid,dense_sampling_grid,step,observation,time,energy,enstrophy,palinstrophy,h_half,l3_sample,vorticity_sample,l3_dense,vorticity_dense,vorticity_fourier_bound,k_rms,stretching,viscous_destruction,net_enstrophy_rate,production_to_dissipation,cutoff_fraction,divergence_defect,reality_defect,nonlinear_energy_residual,peak_cutoff_fraction,minimum_time_step,maximum_time_step,maximum_cfl,maximum_viscous_number,bkm_sampled_integral,h_half_ratio,l3_ratio,vorticity_ratio,l3_dense_ratio,vorticity_dense_ratio,enstrophy_ratio,k_rms_ratio,cutoff_stopped
fftw,32,10,64,128,0,0,0,9.9999999999999929,47.589867445258427,356.41179938367952,6.4108264101366483,6.0460474995026301,69.867008816169871,6.0460474943073441,69.898144071751801,145.01898367729987,2.181510198125566,147.38994080613639,14.256471975347182,133.13346883078921,10.338458284841336,0,1.3947004136484323e-16,0,1.1102230246251565e-15,0,0,0,0,0,0,1,1,1,1,1,1,1,false
fftw,32,10,64,128,80,1,0.01,9.9806602485208575,49.199656330022464,386.13356572365655,6.4535975519802395,6.0525569994778747,72.776392239456413,6.0525569940787491,72.776392239456413,162.91136032292502,2.2202475451789092,203.02398108001788,15.445342628946262,187.57863845107161,13.144673184493087,1.1727268840879222e-10,4.0269504754516817e-16,0,6.106226635438361e-16,1.1727268840879222e-10,0.00012499999999999317,0.000125,0.12604364920191011,0.00075000000000000002,0.71321700527813137,1.0066717048797269,1.0010766537933717,1.0416417343834132,1.0010766537605822,1.0411777480779751,1.0338262947804118,1.0177571239807304,false
fftw,32,10,64,128,160,2,0.02,9.9605727826388772,51.315491292605735,429.77298077288134,6.5076154768832284,6.0548289609208927,75.884704060071101,6.0548289557364843,76.018208600328379,183.6418049691548,2.2697712407907931,251.46150207173937,17.190919230915252,234.27058284082412,14.62757742584958,1.1613375997864134e-08,6.6844277772883352e-16,0,9.936496070395151e-15,1.1613375997864134e-08,0.00012499999999999317,0.000125,0.13401627289578508,0.00075000000000000002,1.4565224867757689,1.0150977519206479,1.00145243010727,1.0861307124187132,1.0014524301103171,1.0875568959641362,1.078286073219952,1.0404586890040963,false
fftw,32,10,64,128,240,3,0.029999999999999999,9.9395508114908022,53.859357583133502,488.06998340974832,6.5699250465382626,6.0523250895186615,79.268603126624754,6.052325086313183,79.565959841050258,208.17047173079251,2.327808262625092,292.8081833516647,19.522799336389934,273.28538401527476,14.998268348017014,1.945846516537607e-07,9.0589113545911311e-16,0,6.106226635438361e-16,1.945846516537607e-07,0.0001249999999999897,0.000125,0.14279839681511997,0.00075000000000000002,2.232289022709248,1.0248171805354223,1.0010382965096698,1.1345641450772828,1.0010382968396707,1.1383129108460199,1.1317400210262558,1.0670627460853637,false
fftw,32,10,64,128,320,4,0.040000000000000001,9.9174379026483503,56.7592059079915,563.37303110308494,6.6376162794944671,6.0447227214866466,83.345192543235726,6.0447227201694922,83.423049817148211,237.262637829092,2.3923152596746613,328.26426371744651,22.534921244123399,305.72934247332313,14.566914175617562,1.561861000150382e-06,7.2247848630775895e-16,0,3.0975222387041867e-14,1.561861000150382e-06,0.0001249999999999897,0.000125,0.1524684493010976,0.00075000000000000002,3.0453580010585508,1.0353760739799824,0.99978088527817677,1.1929119903004419,0.99978088591942105,1.1934944900899347,1.1926741753017145,1.0966326271269449,false
fftw,32,10,64,128,400,5,0.050000000000000003,9.894103644105412,59.958279237584961,660.46119645043939,6.708090900959534,6.0319086443199295,87.943845358596093,6.0319086434342299,88.014152492419285,271.36002307378078,2.4617069539994083,359.89899023263371,26.418447858017576,333.48054237461611,13.62301798223964,8.3624104042994124e-06,7.2177839393871255e-16,0,1.4488410471358293e-14,8.3624104042994124e-06,0.0001249999999999897,0.000125,0.16302288593042841,0.00075000000000000002,3.9018031905677102,1.0463691374255366,0.99766147136887962,1.2587320804013375,0.99766147207966416,1.2591772451364525,1.2598959076016265,1.128441643827564,false
fftw,32,10,64,128,480,6,0.059999999999999998,9.8694363325732919,63.420089329303565,787.17277724029668,6.7792283378719826,6.0139501033948557,93.719439028073282,6.0139501026284456,93.75912274171985,310.42218448161941,2.534937463468856,390.07906262369619,31.486911089611869,358.59215153408434,12.388610032706278,3.3743417946592278e-05,8.3266726846886741e-16,0,6.7307270867900115e-15,3.3743417946592278e-05,0.00012499999999998623,0.000125,0.17446304947656682,0.00075000000000000002,4.8101196125010564,1.057465590887444,0.99469117698621867,1.3413976154992204,0.99469117771418103,1.3413678429784099,1.3326384949959,1.1620103658680889,false
fftw,32,10,64,128,560,7,0.070000000000000007,9.8433350352614966,67.126216742295242,953.97731793909179,6.8494308191210376,5.9910771922974719,99.764325390050431,5.9910771982113618,99.932133066058853,353.90913271124174,2.6114093321241607,420.64523830143696,38.159092717563674,382.48614558387328,11.02346015967577,0.00010734698194257841,1.3323399077344022e-15,0,1.1629586182948515e-14,0.00010734698194257841,0.00012499999999998623,0.000125,0.18661263905491768,0.00075000000000000002,5.7775384345916763,1.0684162042339624,0.99090805899065793,1.4279175118623539,0.99090806082027316,1.4296822096374486,1.4105148920515285,1.1970649206077422,false
fftw,32,10,64,128,640,8,0.080000000000000002,9.8157041268016094,71.066412071864647,1171.6001383314699,6.9175691592356454,5.9637196758393793,105.25092333264084,5.9637196618848991,105.56202552600723,401.01100239146234,2.6907383299616594,452.18511666417641,46.864005533258798,405.32111113091759,9.6488789534489605,0.00027620578458888487,1.1103097574110882e-15,0,5.3845816694320092e-15,0.00027620578458888487,0.00012499999999998623,0.000125,0.19916829117152421,0.00075000000000000002,6.8026146782051322,1.0790448401937303,0.98638319932649832,1.5064466779960644,0.98638319786605033,1.5102264434610133,1.4933097292950179,1.2334291777657702,false
