backend,grid,cutoff,sampling_grid,dense_sampling_grid,step,observation,time,energy,enstrophy,palinstrophy,h_half,l3_sample,vorticity_sample,l3_dense,vorticity_dense,vorticity_fourier_bound,k_rms,stretching,viscous_destruction,net_enstrophy_rate,production_to_dissipation,cutoff_fraction,divergence_defect,reality_defect,nonlinear_energy_residual,peak_cutoff_fraction,minimum_time_step,maximum_time_step,maximum_cfl,maximum_viscous_number,bkm_sampled_integral,h_half_ratio,l3_ratio,vorticity_ratio,l3_dense_ratio,vorticity_dense_ratio,enstrophy_ratio,k_rms_ratio,cutoff_stopped
fftw,32,10,64,128,320,4,0.040000000000000001,9.9043959928212306,68.560147094587919,806.0229881602429,6.9503474436145583,6.2059137045350585,98.924303086098703,6.2059137210578159,98.924303086098703,267.38256042393812,2.631006205740293,546.95609200696435,32.240919526409719,514.71517248055466,16.96465547637165,3.7603574581056264e-06,6.6616995386720111e-16,0,1.4988010832439613e-15,3.7603574581056264e-06,0.0001249999999999897,0.000125,0.16186268047353075,0.00075000000000000002,3.5636962512477122,1.0568288184160219,1.0032243845150699,1.2004121655615076,1.003224388174258,1.1983109889837409,1.298219568172148,1.1448802870812991,false
fftw,32,10,64,128,400,5,0.050000000000000003,9.8759141119182683,73.917739305270246,989.12986288670959,7.0592747990297591,6.195305390494064,105.46631429824909,6.195305360619531,105.46631429824909,314.24383779011265,2.7358084450574065,595.44218103706953,39.565194515468384,555.87698652160111,15.049646244106693,1.9915548883580014e-05,1.0013727890288245e-15,0,2.7922109069322687e-14,1.9915548883580014e-05,0.0001249999999999897,0.000125,0.17577850318679689,0.00075000000000000002,4.5856493381694516,1.0733916693023313,1.0015094848514245,1.2797972064595988,1.0015094810085141,1.2775570759513857,1.3996681697423672,1.1904848993297825,false
