backend,grid,cutoff,sampling_grid,dense_sampling_grid,step,observation,time,energy,enstrophy,palinstrophy,h_half,l3_sample,vorticity_sample,l3_dense,vorticity_dense,vorticity_fourier_bound,k_rms,stretching,viscous_destruction,net_enstrophy_rate,production_to_dissipation,cutoff_fraction,divergence_defect,reality_defect,nonlinear_energy_residual,peak_cutoff_fraction,minimum_time_step,maximum_time_step,maximum_cfl,maximum_viscous_number,bkm_sampled_integral,h_half_ratio,l3_ratio,vorticity_ratio,l3_dense_ratio,vorticity_dense_ratio,enstrophy_ratio,k_rms_ratio,cutoff_stopped
fftw,32,10,64,128,0,0,0,9.9999999999999893,52.810902543333583,430.24552424521698,6.5766066580505997,6.1859677658600978,82.408614244446312,6.1859677597668821,82.553113503527214,147.17676756374161,2.2980622825183317,249.74653979484231,17.209820969808678,232.53671882503363,14.511861583741899,0,1.6711069443220838e-16,0,4.496403249731884e-15,0,0,0,0,0,0,1,1,1,1,1,1,1,false
fftw,32,10,64,128,80,1,0.01,9.9783450386024182,55.620907657801901,483.414408179068,6.6497506456473765,6.1976897434553244,84.473629806874186,6.1976896434902162,84.736483895192052,170.08583940534771,2.3609662410098746,346.05084000710985,19.336576327162721,326.71426367994712,17.89617945556375,4.2318279766438455e-10,4.4544240090105365e-16,0,2.3647750424515834e-14,4.2318279766438455e-10,0.00012499999999999317,0.000125,0.12864133442355616,0.00075000000000000002,0.83441122025660253,1.0111218431327711,1.0018949302742766,1.0250582488415894,1.0018949151011702,1.0264480683889838,1.0532088068777576,1.0273726082056442,false
fftw,32,10,64,128,160,2,0.02,9.9553888621637032,59.288905506974636,561.86972805628398,6.7404023446434245,6.2059462959794365,88.146153619377259,6.2059461973023398,88.281612916566573,196.45237599469976,2.440380816353926,426.56420287583921,22.474789122251359,404.08941375358785,18.979675429012843,3.2730904618279775e-08,5.594315114139762e-16,0,2.9976021664879227e-15,3.2730904618279775e-08,0.00012499999999999317,0.000125,0.13847660163453124,0.00075000000000000002,1.6975101373878596,1.0249058055482638,1.0032296531238973,1.0696230537005738,1.003229638160321,1.0693916821537519,1.1226641214534363,1.0619297983863321,false
fftw,32,10,64,128,240,3,0.029999999999999999,9.9308216391997188,63.649721016779687,667.45676344916899,6.8424921435453516,6.2091379618649905,93.083383033247259,6.2091380553742646,93.083383033247259,228.37603545095936,2.5316616405485983,492.35176177558679,26.69827053796676,465.65349123762002,18.441335406929412,4.8320056911968653e-07,5.5723249661504137e-16,0,8.659739592076221e-15,4.8320056911968653e-07,0.0001249999999999897,0.000125,0.1494335421958527,0.00075000000000000002,2.6036578206509819,1.0404289779394476,1.0037456056807743,1.12953462312977,1.0037456217858232,1.1275575091334396,1.2052382737551663,1.1016505774483523,false
fftw,32,10,64,128,320,4,0.040000000000000001,9.9043959928212306,68.560147094587919,806.0229881602429,6.9503474436145583,6.2059137045350585,98.924303086098703,6.2059137210578159,98.924303086098703,267.38256042393812,2.631006205740293,546.95609200696435,32.240919526409719,514.71517248055466,16.96465547637165,3.7603574581056264e-06,6.6616995386720111e-16,0,1.4988010832439613e-15,3.7603574581056264e-06,0.0001249999999999897,0.000125,0.16186268047353075,0.00075000000000000002,3.5636962512477122,1.0568288184160219,1.0032243845150699,1.2004121655615076,1.003224388174258,1.1983109889837409,1.298219568172148,1.1448802870812991,false
