resolution,grid,cutoff,sampling_grid,snapshot,time,energy,enstrophy,palinstrophy,h_half,l3_sample,vorticity_sample,vorticity_fourier_upper_bound,k_rms,stretching,viscous_destruction,net_enstrophy_rate,production_to_dissipation,cutoff_fraction
coarse,16,5,64,0,0,9.9999999999999929,40.678345689401944,232.48270264779825,6.2090645101017534,6.2689481476827718,71.207575287486307,106.95892623112753,2.0168873466161163,96.186504538252706,9.2993081059119298,86.887196432340772,10.343404417055847,0
coarse,16,5,64,1,0.0037499999999999999,9.9938717346653654,41.045561294458054,239.16825891935989,6.2188396666284138,6.2720175546677712,72.464135793068422,111.95929399374801,2.0265914864094903,118.37645888725415,9.5667303567743964,108.80972853047975,12.373763498354416,8.1173905798797134e-06
coarse,16,5,64,2,0.0074999999999999997,9.9876823083787816,41.493231708694211,247.72369220697647,6.230647224773187,6.2744106420274273,73.714629412526023,117.08783106606565,2.0382444609373249,139.69205810386939,9.9089476882790581,129.78311041559033,14.097567420716748,3.301684114718709e-05
coarse,16,5,64,3,0.01125,9.9814199270770381,42.017655289178165,258.11485160747083,6.2443570203675476,6.2760826189203973,74.920980765471199,122.34310997877689,2.0517278016856273,160.05800565678683,10.324594064298834,149.73341159248801,15.502595517071956,7.5887193765214011e-05
coarse,16,5,64,4,0.014999999999999999,9.9750733716367606,42.614875055126909,270.31108896339617,6.2598294354101256,6.2769985958163277,76.06405043574965,127.73548373720679,2.0669147300751032,179.41073368905248,10.812443558535847,168.59829013051663,16.592986841297062,0.00013861613830463745
coarse,16,5,64,5,0.018749999999999999,9.9686320329644538,43.280721200413716,284.28509437102883,6.2769174608597593,6.2771343401756923,77.155925469071889,133.25408882512917,2.0836725084432293,197.69792120161461,11.371403774841154,186.32651742677345,17.385533494027761,0.0002241255982018095
coarse,16,5,64,6,0.022499999999999999,9.9620859408258813,44.010852169245553,300.01263912692218,6.2954686853055986,6.2764763368277388,78.209466437878589,138.8894379471073,2.1018646537710373,214.87819145056105,12.000505565076887,202.87768588548417,17.905761576902727,0.00033674546818386288
coarse,16,5,64,7,0.026249999999999999,9.9554257865849394,44.800794840771005,317.47213719806138,6.3153272229903763,6.2750212150786338,79.234844810634812,144.62707571265929,2.1213529874717669,230.92088021387215,12.698885487922455,218.22199472594968,18.184342274248742,0.00048256011960104423
coarse,16,5,64,8,0.029999999999999999,9.9486429399827294,45.645983714768512,336.64391423396461,6.3363355862386692,6.2727746915287215,80.236840003305247,150.43666000127953,2.1419994915221983,245.80564851481427,13.465756569358584,232.33989194545569,18.254128332762722,0.00066966287215208646
coarse,16,5,64,9,0.033750000000000002,9.9417294601684674,46.541798155291332,357.50907193944812,6.358336489656697,6.2697501298168321,81.213228347915873,156.32082693437886,2.1636679341874165,259.52173488953105,14.300362877577925,245.22137201195312,18.147912546781935,0.00090826266455228263
