iteration,stage,resolution,initial_family,seed_bandwidth,real_degrees_of_freedom,objective,valid,steps,critical_log_growth,characteristic_log_growth,cutoff_penalty,profile_shape_penalty,profile_path_penalty,peak_h_half_ratio,final_h_half_ratio,peak_l3_ratio,final_l3_ratio,peak_vorticity_ratio,characteristic_ratio,profile_scale_windows,first_profile_drift,latest_profile_drift,minimum_profile_drift,latest_profile_window_time,profile_stationarity_improving,search_score,peak_cutoff_fraction,max_divergence_defect,max_reality_defect,max_energy_balance_residual,max_cfl_bound,max_viscous_number,constrained_gradient_norm,gradient_relative_error,gradient_slope,line_angle,trajectory_count,pair_search_score,preliminary_cross_resolution_ok,refinement_eligible,start_index,search_track,selection_score
0,initial,coarse,wave-packets,3,684,0.025989868889164595,true,80,0.021586480385907127,0.060962119939041409,0.11852323718996864,0.0128291661068067,0.0051306804071987117,1.0218211540041913,1.0218211540041913,1.0005400770829669,0.99804298264779834,1.1876709995661008,1.0628586522740997,6,8.651046385124662,7.4413829876393338,7.4413829876393338,0.040000000000000001,false,-0.18419737565844102,0.0012583303499413858,4.1725779438208954e-16,1.2494826774184999e-16,3.1086244689504383e-15,0.28459710253155768,0.00075000000000000002,nan,nan,nan,0,1,nan,false,false,0,amplification,nan
0,fine-check,fine,wave-packets,3,684,0.030954592709503296,true,125,0.021711427496574034,0.061651400844005916,0.00011362284179060824,0.013572415199356268,0.0054514890269471775,1.0219488355815585,1.0219488355815585,1.0005456616862372,0.99791874100156197,1.1884199645800992,1.0635915129922224,6,8.6536672079885957,7.3877691987289342,7.3877691987289342,0.039482759522137152,false,-0.1794935354734758,1.1362929711018479e-06,9.4409765292707561e-16,3.2516696318485252e-16,1.0713652187632761e-14,0.35000000000000009,0.0021983610723721142,nan,nan,nan,0,2,-0.18806871565361497,true,false,0,amplification,0.025989868889164595
1,gradient-check,coarse,wave-packets,3,684,0.025989868889164595,true,80,0.021586480385907127,0.060962119939041409,0.11852323718996864,0.0128291661068067,0.0051306804071987117,1.0218211540041913,1.0218211540041913,1.0005400770829669,0.99804298264779834,1.1876709995661008,1.0628586522740997,6,8.651046385124662,7.4413829876393338,7.4413829876393338,0.040000000000000001,false,-0.18419737565844102,0.0012583303499413858,4.1725779438208954e-16,1.2494826774184999e-16,3.1086244689504383e-15,0.28459710253155768,0.00075000000000000002,0.032736076607791209,9.5883001712345469e-06,0.14640018522332393,0,4,nan,false,false,0,amplification,nan
1,line-trial,coarse,wave-packets,3,684,0.042202945313470616,true,80,0.034630847955127275,0.091462611637167179,0.15368235968079352,0.027052285900211942,0.014117941026340267,1.0352374782213498,1.0352374782213498,1.0014873212977684,0.99989321683268306,1.1954293835183136,1.095775806663202,9,8.1137020190513098,8.322371715617253,7.4019900813093953,0.039500000000000007,false,-0.19641030604386436,0.0016612042108134777,7.1642189398370455e-16,1.0126982252310917e-16,6.6058269965196814e-15,0.29091475866243477,0.00075000000000000002,0.032736076607791209,9.5883001712345469e-06,0.14640018522332393,0.12,5,nan,false,false,0,amplification,nan
1,accepted,coarse,wave-packets,3,684,0.042202945313470616,true,80,0.034630847955127275,0.091462611637167179,0.15368235968079352,0.027052285900211942,0.014117941026340267,1.0352374782213498,1.0352374782213498,1.0014873212977684,0.99989321683268306,1.1954293835183136,1.095775806663202,9,8.1137020190513098,8.322371715617253,7.4019900813093953,0.039500000000000007,false,-0.19641030604386436,0.0016612042108134777,7.1642189398370455e-16,1.0126982252310917e-16,6.6058269965196814e-15,0.29091475866243477,0.00075000000000000002,0.032736076607791209,9.5883001712345469e-06,0.14640018522332393,0.12,5,nan,false,false,0,amplification,nan
1,fine-check,fine,wave-packets,3,684,0.048595105742478016,true,128,0.034764717219918674,0.092244236524702913,0.00015617390365241368,0.028471509279492782,0.015009802933398143,1.0353760739780928,1.0353760739780928,1.001452596619689,0.99978082837544213,1.1887560117799263,1.096632627117323,9,8.1690994724550876,8.0249170177872138,7.4131213806417335,0.039385242350680576,false,-0.18449467681991735,1.561860994313839e-06,7.216783253021517e-16,2.4963146989728578e-16,1.5931700403370996e-14,0.34999999999999998,0.0022091796890988552,nan,nan,nan,0,6,-0.20276015675953041,true,false,0,amplification,0.042202945313470616
1,start-selected,coarse,wave-packets,3,684,0.042202945313470616,true,80,0.034630847955127275,0.091462611637167179,0.15368235968079352,0.027052285900211942,0.014117941026340267,1.0352374782213498,1.0352374782213498,1.0014873212977684,0.99989321683268306,1.1954293835183136,1.095775806663202,9,8.1137020190513098,8.322371715617253,7.4019900813093953,0.039500000000000007,false,-0.19641030604386436,0.0016612042108134777,7.1642189398370455e-16,1.0126982252310917e-16,6.6058269965196814e-15,0.29091475866243477,0.00075000000000000002,nan,nan,nan,0,6,-0.20276015675953041,true,false,0,amplification,0.042202945313470616
1,start-fine-validation,fine,wave-packets,3,684,0.048595105742478016,true,128,0.034764717219918674,0.092244236524702913,0.00015617390365241368,0.028471509279492782,0.015009802933398143,1.0353760739780928,1.0353760739780928,1.001452596619689,0.99978082837544213,1.1887560117799263,1.096632627117323,9,8.1690994724550876,8.0249170177872138,7.4131213806417335,0.039385242350680576,false,-0.18449467681991735,1.561860994313839e-06,7.216783253021517e-16,2.4963146989728578e-16,1.5931700403370996e-14,0.34999999999999998,0.0022091796890988552,nan,nan,nan,0,6,-0.20276015675953041,true,false,0,amplification,0.042202945313470616
1,selected,coarse,wave-packets,3,684,0.042202945313470616,true,80,0.034630847955127275,0.091462611637167179,0.15368235968079352,0.027052285900211942,0.014117941026340267,1.0352374782213498,1.0352374782213498,1.0014873212977684,0.99989321683268306,1.1954293835183136,1.095775806663202,9,8.1137020190513098,8.322371715617253,7.4019900813093953,0.039500000000000007,false,-0.19641030604386436,0.0016612042108134777,7.1642189398370455e-16,1.0126982252310917e-16,6.6058269965196814e-15,0.29091475866243477,0.00075000000000000002,nan,nan,nan,0,6,-0.20276015675953041,true,false,0,amplification,0.042202945313470616
1,fine-validation,fine,wave-packets,3,684,0.048595105742478016,true,128,0.034764717219918674,0.092244236524702913,0.00015617390365241368,0.028471509279492782,0.015009802933398143,1.0353760739780928,1.0353760739780928,1.001452596619689,0.99978082837544213,1.1887560117799263,1.096632627117323,9,8.1690994724550876,8.0249170177872138,7.4131213806417335,0.039385242350680576,false,-0.18449467681991735,1.561860994313839e-06,7.216783253021517e-16,2.4963146989728578e-16,1.5931700403370996e-14,0.34999999999999998,0.0022091796890988552,nan,nan,nan,0,6,-0.20276015675953041,true,false,0,amplification,0.042202945313470616
