resolution,snapshot,time,critical_log_rate,soft_minimum_weight
coarse,0,0.02,1.440032589016133,0.38869016705900555
coarse,1,0.025000000000000001,1.5000188880721013,0.21334691505639988
coarse,2,0.029999999999999999,1.5371522026092714,0.14716970910969795
coarse,3,0.035000000000000003,1.5537769203942597,0.12462873861694623
coarse,4,0.040000000000000001,1.5525522056229477,0.12616447015795029
fine,0,0.02,1.4446300854844123,0.40364621562646663
fine,1,0.025000000000000001,1.5069676654495421,0.21640745376452142
fine,2,0.029999999999999999,1.5469549353938541,0.14508072205110115
fine,3,0.035000000000000003,1.5668736772611507,0.11887860812268428
fine,4,0.040000000000000001,1.5693361525644713,0.1159870004352266
