backend,grid,cutoff,sampling_grid,dense_sampling_grid,step,observation,time,energy,enstrophy,palinstrophy,h_half,l3_sample,vorticity_sample,l3_dense,vorticity_dense,vorticity_fourier_bound,k_rms,stretching,viscous_destruction,net_enstrophy_rate,production_to_dissipation,cutoff_fraction,divergence_defect,reality_defect,nonlinear_energy_residual,peak_cutoff_fraction,minimum_time_step,maximum_time_step,maximum_cfl,maximum_viscous_number,bkm_sampled_integral,h_half_ratio,l3_ratio,vorticity_ratio,l3_dense_ratio,vorticity_dense_ratio,enstrophy_ratio,k_rms_ratio,cutoff_stopped
fftw,64,21,64,128,802,10,0.10000000000000001,9.791719329901122,68.106464059609877,1354.026744805524,6.7849282116677481,6.1123253640902195,111.01578440722184,6.1123252804207144,111.46544794340797,480.59487576152662,2.6373312963941382,441.00912780748257,54.161069792220964,386.84805801526159,8.1425483192878829,2.3994007023432047e-06,6.7704014934589707e-16,0,3.3154035072868737e-14,2.3994007023432047e-06,6.3948825859846958e-05,0.000125,0.40000000000000008,0.0033075000000000001,8.9052586252326407,1.0927456464060086,0.97501609841031434,1.5590445814089007,0.97501608544373464,1.5595191098702925,1.6742682846454562,1.3076244941587776,false
fftw,64,21,64,128,890,11,0.11,9.7636904294111364,72.069913883028335,1732.3955222811805,6.8416149554013037,6.0781772019955582,117.56949064249281,6.0781772783141088,118.44141382965149,568.07834163044697,2.7168771487534245,475.25339313588285,69.295820891247217,405.95757224463563,6.8583269095223649,7.9547457669487045e-06,1.0105341231389765e-15,0,6.8556271770603416e-15,7.9547457669487045e-06,6.3948825859846958e-05,0.000125,0.40000000000000008,0.0033075000000000001,10.048185000481213,1.1018753218412261,0.96956890674590668,1.6510812251060309,0.96956891929792122,1.6571202258225961,1.7717021835970319,1.3470644026359397,false
fftw,64,21,64,128,986,12,0.12,9.7340376587911308,76.225967361562141,2229.0751669979977,6.8948251790672597,6.0428609894995589,124.54950297811793,6.04286141887449,124.91475958453735,666.59833873890284,2.7983688720401325,514.30786861895547,89.163006679919917,425.14486193903554,5.7681754773617442,2.0766094206645557e-05,1.0710705898475644e-15,0,1.3322676295501878e-15,2.0766094206645557e-05,1.9672000116377486e-07,0.000125,0.40000000000000008,0.0033075000000000001,11.258779968584268,1.1104450868322946,0.96393539189396882,1.7491046770694594,0.96393546076206793,1.7476891563369894,1.8738708782206335,1.3874691002128436,false
