step,time,time_step,max_coefficient_difference,relative_state_l2_difference,max_diagnostic_scaled_difference,internal_energy,fftw_energy,internal_enstrophy,fftw_enstrophy,internal_critical_h_half,fftw_critical_h_half,internal_critical_l3,fftw_critical_l3,internal_vorticity_max,fftw_vorticity_max,internal_cutoff_fraction,fftw_cutoff_fraction,internal_divergence_defect,fftw_divergence_defect,internal_reality_defect,fftw_reality_defect,internal_cfl_bound,fftw_cfl_bound,viscous_stability_number
0,0,0,0,0,7.1789771084963949e-16,9.9999999999999893,9.9999999999999893,52.810902543333583,52.810902543333583,6.5766066580505997,6.5766066580505997,6.1859677658601022,6.1859677658600978,82.408614244446369,82.408614244446312,0,0,1.6711069443220838e-16,1.6711069443220838e-16,0,0,0,0,0
40,0.0050000000000000036,0.000125,2.7194799110210365e-16,1.6001542723145537e-16,7.1718004492073175e-16,9.9893131916179581,9.9893131916179581,54.098145042000077,54.09814504200007,6.6106168442361204,6.6106168442361195,6.1921579245717409,6.1921579245717364,83.161242714550639,83.161242714550596,1.0037890409547034e-24,1.0037900402215785e-24,3.030954607830199e-16,2.8066088919804617e-16,6.4926241086303376e-17,0,0.26029762699775083,0.26029762699775083,0.0033075000000000005
80,0.010000000000000007,0.000125,4.0247453913341779e-16,2.8797978409872453e-16,7.1653992210932898e-16,9.9783450386007893,9.9783450386007893,55.620907682258633,55.620907682258633,6.6497506457935884,6.6497506457935884,6.1976897050308928,6.1976897050308883,84.473559464094862,84.473559464094819,3.0682928102222742e-20,3.0682928396509905e-20,5.8323869592765834e-16,6.1066208780468645e-16,1.2720385528116233e-16,0,0.27015178934377199,0.27015178934377204,0.0033075000000000005
120,0.015000000000000012,0.000125,4.0253154652786301e-16,3.8545689608203719e-16,5.7280080119383598e-16,9.9670505252201078,9.9670505252201078,57.358213876590938,57.358213876590945,6.6932678111926407,6.6932678111926407,6.202354590628901,6.2023545906288975,86.137156727309602,86.137156727309559,1.654209758093815e-17,1.6542097589402027e-17,5.0267485386043072e-16,5.6132177839609234e-16,1.2726298411589055e-16,0,0.28030540515349855,0.28030540515349855,0.0033075000000000005
160,0.020000000000000014,0.000125,5.2849668163683245e-16,4.9667618419017483e-16,7.1558660608640955e-16,9.9553888619156368,9.955388861915635,59.288907912806067,59.288907912806053,6.7404023578712335,6.7404023578712344,6.2059463672582673,6.2059463672582629,88.148510318182588,88.148510318182559,1.5223341079413889e-15,1.5223341080234884e-15,8.326835313426391e-16,7.7718709382519141e-16,2.4986793398803723e-16,0,0.29086372531482707,0.29086372531482702,0.0033075000000000005
200,0.025000000000000019,0.000125,5.3888298984429123e-16,6.1062319597861042e-16,8.101645104939503e-16,9.9433234414507154,9.9433234414507154,61.392459011666887,61.392459011666837,6.7903897829823734,6.7903897829823716,6.2082692423990089,6.2082692423990045,90.477633169793179,90.477633169793151,4.9666489806082148e-14,4.9666489806465187e-14,6.6615414325564476e-16,5.6132177839609234e-16,2.5189355662847967e-16,0,0.30209483267809623,0.30209483267809617,0.0033075000000000005
240,0.030000000000000023,0.000125,5.4459059615855311e-16,7.2308009710311894e-16,7.1521792853581469e-16,9.9308216327120977,9.9308216327120977,63.649766513322206,63.649766513322191,6.8424923701351448,6.8424923701351439,6.2091453825716671,6.2091453825716627,93.062616277304997,93.062616277304969,8.0816699671881691e-13,8.0816699671982686e-13,7.496896064510999e-16,7.2531358829924448e-16,2.5189355662847967e-16,0,0.3141274253818736,0.31412742538187349,0.0033075000000000005
280,0.035000000000000024,0.000125,5.4481434262775689e-16,8.2879230512500781e-16,8.6069162569974545e-16,9.9178544202386583,9.9178544202386583,66.043885130861014,66.043885130860957,6.8960206278797846,6.8960206278797838,6.2084209808975448,6.2084209808975404,95.823514719005132,95.823514719005104,7.980376986193647e-12,7.9803769861957537e-12,9.6118083331002646e-16,8.2645692856732297e-16,2.5189355662847967e-16,0,0.32707315628148281,0.3270731562814827,0.0033075000000000005
320,0.040000000000000029,0.000125,5.7956381819717347e-16,9.4372012857496602e-16,8.5870055703639693e-16,9.9043959120678142,9.9043959120678178,68.560608110380898,68.560608110380869,6.9503494944827162,6.9503494944827171,6.2059707246409452,6.2059707246409399,98.677266536083863,98.677266536083849,5.4488336019508382e-11,5.4488336019513934e-11,1.2640981270685001e-15,1.1383170325457368e-15,2.595267492769327e-16,0,0.34099694881025,0.34099694881025011,0.0033075000000000005
360,0.044982642778277702,0.00012291954210674251,6.8038820323785575e-16,1.0587255896377195e-15,7.1607438223591739e-16,9.8904721710506518,9.8904721710506482,71.179561502612472,71.17956150261243,7.0047393669989191,7.0047393669989173,6.2017189954961029,6.2017189954960985,101.54011754985409,101.54011754985405,2.8244801477421722e-10,2.8244801477423484e-10,1.0145982235717633e-15,1.055077015130091e-15,2.8188722718500127e-16,0,0.34999999999999998,0.34999999999999981,0.0032524510841444075
