resolution,snapshot,time,critical_log_rate,soft_minimum_weight
coarse,0,0.02,1.1570096167441248,0.46648071130043856
coarse,1,0.025000000000000001,1.2299002120918596,0.22504732608917202
coarse,2,0.029999999999999999,1.2825796799002531,0.13288924543055547
coarse,3,0.035000000000000003,1.3162493270178302,0.094899607436044475
coarse,4,0.040000000000000001,1.332478358266403,0.080683109743789533
fine,0,0.02,1.1590942161403857,0.47422784543645813
fine,1,0.025000000000000001,1.2332126293621637,0.22599294016114038
fine,2,0.029999999999999999,1.287465818319697,0.13136397045276729
fine,3,0.035000000000000003,1.3230765939393796,0.092006949734387389
fine,4,0.040000000000000001,1.3416538800874231,0.076408294215246697
