backend,grid,cutoff,sampling_grid,dense_sampling_grid,step,observation,time,energy,enstrophy,palinstrophy,h_half,l3_sample,vorticity_sample,l3_dense,vorticity_dense,vorticity_fourier_bound,k_rms,stretching,viscous_destruction,net_enstrophy_rate,production_to_dissipation,cutoff_fraction,divergence_defect,reality_defect,nonlinear_energy_residual,peak_cutoff_fraction,minimum_time_step,maximum_time_step,maximum_cfl,maximum_viscous_number,bkm_sampled_integral,h_half_ratio,l3_ratio,vorticity_ratio,l3_dense_ratio,vorticity_dense_ratio,enstrophy_ratio,k_rms_ratio,cutoff_stopped
fftw,64,21,64,128,800,10,0.10000000000000001,9.7006149997929008,88.598116721624038,1669.6076523439378,7.3869628626832462,5.8883278976001581,86.33142826295672,5.8883278259301122,87.287373160790537,509.23536225322732,3.0221263043799533,484.21622741550027,66.784306093757522,417.43192132174272,7.2504493306513673,3.0861924070219126e-06,1.6136471996107275e-15,0,1.021405182655144e-14,3.0861924070219126e-06,0.00012499999999998623,0.000125,0.398590066397286,0.0033075000000000001,6.9739060250210736,1.0423457387225565,0.97225570719572807,1.4076117169186846,0.97225568547623287,1.4188673699586991,1.3015921496037404,1.1583447269402543,false
fftw,64,21,64,128,884,11,0.11,9.6643156015464005,92.960915867853004,2057.6923827665682,7.4407956888784534,5.8620961476071036,89.324611950170436,5.86209609523043,90.343902349593932,598.39612882063727,3.1014490061268396,536.96389856439487,82.307695310662737,454.65620325373214,6.5238602118267872,7.5569081823472901e-06,1.7244233337941968e-15,0,8.1046280797636427e-15,7.5569081823472901e-06,2.3241450405470099e-05,0.000125,0.40000000000000008,0.0033075000000000001,7.852186226086709,1.0499418804699898,0.96792443198755351,1.4564148065209879,0.96792441349773717,1.4685516412831519,1.3656858948113466,1.1887481661221291,false
fftw,64,21,64,128,975,12,0.12,9.6261985229059981,97.681801789649356,2556.4892421075879,7.4947663519238397,5.834145069252556,92.524560989577523,5.8341452303061843,93.078641186501173,697.15028995195951,3.1855133091128831,591.31152516750205,102.25956968430351,489.05195548319853,5.7824566149945991,1.5798623731386951e-05,2.0546626093100592e-15,0,9.2703622556200571e-15,1.5798623731386951e-05,2.3241450405470099e-05,0.000125,0.40000000000000008,0.0033075000000000001,8.7614320907854477,1.0575574718418617,0.96330926857867472,1.5085891519713204,0.96330928537648941,1.5130051694457967,1.4350402815901484,1.2209690041283585,false
