resolution,snapshot,time,critical_log_rate,soft_minimum_weight
coarse,0,0.029999999999999999,1.546954935428603,0.15398261707040337
coarse,1,0.037499999999999999,1.5701166531311486,0.12214667086510042
coarse,2,0.044999999999999998,1.5570753417378289,0.13916157342149374
coarse,3,0.052499999999999998,1.5168640427676117,0.20804380250279808
coarse,4,0.059999999999999998,1.4575031983501554,0.37666533614020442
fine,0,0.029999999999999999,1.5469630115863979,0.15478429148958819
fine,1,0.037499999999999999,1.570153514983625,0.12274726015166852
fine,2,0.044999999999999998,1.5572109420379074,0.13970781071445931
fine,3,0.052499999999999998,1.5172833398473298,0.20826872588736273
fine,4,0.059999999999999998,1.4586092390425858,0.37449191175692126
