family,source_grid,simulation_cutoff,seed_bandwidth,target_energy,kx,ky,kz,ux_real,ux_imag,uy_real,uy_imag,uz_real,uz_imag
wave-packets,16,5,3,10,0,0,1,-0.025425238521771878,0.21511952730995304,0.018266911295218256,-0.17176300114260007,0,0
wave-packets,16,5,3,10,0,0,2,0.012440507013909021,-0.17964588095960074,-0.078443199500168384,0.13757260626462769,0,0
wave-packets,16,5,3,10,0,0,3,-0.038966637118078296,0.035626438477295137,0.075144494339935211,-0.060567782203692778,0,0
wave-packets,16,5,3,10,0,0,-3,-0.038966637118078296,-0.035626438477295137,0.075144494339935211,0.060567782203692778,0,0
wave-packets,16,5,3,10,0,0,-2,0.012440507013909021,0.17964588095960074,-0.078443199500168384,-0.13757260626462769,0,0
wave-packets,16,5,3,10,0,0,-1,-0.025425238521771878,-0.21511952730995304,0.018266911295218256,0.17176300114260007,0,0
wave-packets,16,5,3,10,0,1,0,-0.06733465328065566,-0.3100982316089303,0,0,-0.058342065306112738,0.23876660829262267
wave-packets,16,5,3,10,0,1,1,-0.035120210135136332,0.036368401729594664,-0.20885315978283456,0.62019437683016143,0.20885315978283456,-0.62019437683016143
wave-packets,16,5,3,10,0,1,2,-0.0231526480533371,0.090225526375358009,0.12682190431067902,-0.49514595302942788,-0.063410952155339512,0.24757297651471394
wave-packets,16,5,3,10,0,1,3,0.06148743250014737,-0.050836646443774926,-0.12070262767849929,0.13882891836619068,0.040234209226166433,-0.046276306122063564
wave-packets,16,5,3,10,0,1,-3,0.0003853485606662228,0.092242877894963715,-0.051404068191925827,-0.0024025479350768008,-0.017134689397308611,-0.00080084931169226712
wave-packets,16,5,3,10,0,1,-2,-0.095383805428276305,-0.071278617818195458,-0.053773211586836213,0.091622681242740561,-0.026886605793418106,0.045811340621370281
wave-packets,16,5,3,10,0,1,-1,0.050146053830716873,0.31466105550347678,-0.030687641009020893,-0.11101953004547181,-0.030687641009020893,-0.11101953004547181
wave-packets,16,5,3,10,0,2,0,0.053113027648949471,0.26653338700488166,0,0,0.0056321754165733076,-0.24565639952687768
wave-packets,16,5,3,10,0,2,1,0.0018405350154416171,-0.10344135854753835,0.084805833484636273,-0.24319542038377734,-0.16961166696927255,0.48639084076755468
wave-packets,16,5,3,10,0,2,2,0.026272450898996897,0.05604532088590912,-0.061369626594628884,0.16806395098820612,0.061369626594628884,-0.16806395098820612
wave-packets,16,5,3,10,0,2,3,0.077705525479964954,-0.014508885581762091,-0.027872326584853831,-0.08566788427560354,0.01858155105656922,0.057111922850402369
wave-packets,16,5,3,10,0,2,-3,0.057484852203645125,0.02617094262730205,-0.025651530516629262,-0.032838719486527626,-0.017101020344419508,-0.021892479657685083
wave-packets,16,5,3,10,0,2,-2,0.0050892851006109586,0.089813950894119518,0.066249259817111286,-0.0042263782877314006,0.066249259817111286,-0.0042263782877314006
wave-packets,16,5,3,10,0,2,-1,0.010185608272894746,-0.075788622038261436,-0.0016487903257554725,0.059843305389459138,-0.0032975806515109451,0.11968661077891828
wave-packets,16,5,3,10,0,3,0,0.046898660370611134,-0.084441812341183045,1.5963039569571175e-49,0,0.0478529961789897,0.11133381906880187
wave-packets,16,5,3,10,0,3,1,0.029629791862944118,0.067537394182505289,0.0069909869900433115,0.064167022398075479,-0.020972960970129937,-0.19250106719422649
wave-packets,16,5,3,10,0,3,2,0.0099459462013611749,-0.08496006016760467,0.027497250907718943,-0.040126749874248059,-0.041245876361578428,0.060190124811372071
wave-packets,16,5,3,10,0,3,3,0.012681038221628976,-0.010810576279294333,0.0089437840724362512,0.024958695600592204,-0.0089437840724362512,-0.024958695600592197
wave-packets,16,5,3,10,0,3,-3,0.032641482754429726,0.041110816383926808,0.027325086238830926,-0.007931955711211261,0.027325086238830926,-0.007931955711211261
wave-packets,16,5,3,10,0,3,-2,-0.012090441187852975,-0.029546302129696649,-0.036288916200506199,0.019112120184031477,-0.054433374300759299,0.028668180276047218
wave-packets,16,5,3,10,0,3,-1,0.037363730893851553,0.083236992433083981,0.0040974130538136075,0.0071802664589610448,0.012292239161440828,0.021540799376883128
wave-packets,16,5,3,10,0,-3,0,0.046898660370611134,0.084441812341183045,1.5963039569571175e-49,0,0.0478529961789897,-0.11133381906880187
wave-packets,16,5,3,10,0,-3,1,0.037363730893851553,-0.083236992433083981,0.0040974130538136075,-0.0071802664589610448,0.012292239161440828,-0.021540799376883128
wave-packets,16,5,3,10,0,-3,2,-0.012090441187852975,0.029546302129696649,-0.036288916200506199,-0.019112120184031477,-0.054433374300759299,-0.028668180276047218
wave-packets,16,5,3,10,0,-3,3,0.032641482754429726,-0.041110816383926808,0.027325086238830926,0.007931955711211261,0.027325086238830926,0.007931955711211261
wave-packets,16,5,3,10,0,-3,-3,0.012681038221628976,0.010810576279294333,0.0089437840724362512,-0.024958695600592204,-0.0089437840724362512,0.024958695600592197
wave-packets,16,5,3,10,0,-3,-2,0.0099459462013611749,0.08496006016760467,0.027497250907718943,0.040126749874248059,-0.041245876361578428,-0.060190124811372071
wave-packets,16,5,3,10,0,-3,-1,0.029629791862944118,-0.067537394182505289,0.0069909869900433115,-0.064167022398075479,-0.020972960970129937,0.19250106719422649
wave-packets,16,5,3,10,0,-2,0,0.053113027648949471,-0.26653338700488166,0,0,0.0056321754165733076,0.24565639952687768
wave-packets,16,5,3,10,0,-2,1,0.010185608272894746,0.075788622038261436,-0.0016487903257554725,-0.059843305389459138,-0.0032975806515109451,-0.11968661077891828
wave-packets,16,5,3,10,0,-2,2,0.0050892851006109586,-0.089813950894119518,0.066249259817111286,0.0042263782877314006,0.066249259817111286,0.0042263782877314006
wave-packets,16,5,3,10,0,-2,3,0.057484852203645125,-0.02617094262730205,-0.025651530516629262,0.032838719486527626,-0.017101020344419508,0.021892479657685083
wave-packets,16,5,3,10,0,-2,-3,0.077705525479964954,0.014508885581762091,-0.027872326584853831,0.08566788427560354,0.01858155105656922,-0.057111922850402369
wave-packets,16,5,3,10,0,-2,-2,0.026272450898996897,-0.05604532088590912,-0.061369626594628884,-0.16806395098820612,0.061369626594628884,0.16806395098820612
wave-packets,16,5,3,10,0,-2,-1,0.0018405350154416171,0.10344135854753835,0.084805833484636273,0.24319542038377734,-0.16961166696927255,-0.48639084076755468
wave-packets,16,5,3,10,0,-1,0,-0.06733465328065566,0.3100982316089303,0,0,-0.058342065306112738,-0.23876660829262267
wave-packets,16,5,3,10,0,-1,1,0.050146053830716873,-0.31466105550347678,-0.030687641009020893,0.11101953004547181,-0.030687641009020893,0.11101953004547181
wave-packets,16,5,3,10,0,-1,2,-0.095383805428276305,0.071278617818195458,-0.053773211586836213,-0.091622681242740561,-0.026886605793418106,-0.045811340621370281
