iteration,stage,resolution,initial_family,seed_bandwidth,real_degrees_of_freedom,objective,valid,steps,critical_log_growth,characteristic_log_growth,cutoff_penalty,profile_shape_penalty,profile_path_penalty,peak_h_half_ratio,final_h_half_ratio,peak_l3_ratio,final_l3_ratio,peak_vorticity_ratio,characteristic_ratio,profile_scale_windows,first_profile_drift,latest_profile_drift,minimum_profile_drift,latest_profile_window_time,profile_stationarity_improving,search_score,peak_cutoff_fraction,max_divergence_defect,max_reality_defect,max_energy_balance_residual,max_cfl_bound,max_viscous_number,constrained_gradient_norm,gradient_relative_error,gradient_slope,line_angle,trajectory_count,pair_search_score,preliminary_cross_resolution_ok,refinement_eligible,start_index,search_track,selection_score
0,initial,coarse,wave-packets,3,684,0.0054633785507531589,true,80,0.0075989455262371825,0.030504516301182526,0.16778111051653505,0.0070276673027361526,0.0022585205424541024,1.0076278907841536,1.0076278907841536,1,0.99573603003725453,1.0139181487837039,1.0309745462298285,3,8.9433062899531475,8.5983640229533282,8.5983640229533282,0.040000000000000001,false,-0.22139337217554977,0.0018267770660085464,7.4956315430516226e-16,1.8424037361508207e-16,6.8833827526759706e-15,0.2894474765288273,0.00075000000000000002,nan,nan,nan,0,1,nan,false,false,1,amplification,nan
0,fine-check,fine,wave-packets,3,684,0.012479514897294139,true,129,0.0077721044900385819,0.031416548780586244,0.00012679774580946966,0.0080118160059184113,0.0026077037070125772,1.007802385692862,1.007802385692862,1.0000649009874976,0.99567350165218382,1.038136373469341,1.0319152574157993,3,8.9423625119746273,8.6265219319931887,8.6265219319931887,0.039097078251239946,false,-0.21616456876870196,1.268057849834203e-06,5.594315114139762e-16,2.578268328486015e-16,2.3925306180672123e-14,0.34999999999999998,0.0021560682374603432,nan,nan,nan,0,2,-0.22656665827561051,true,false,1,amplification,0.0054633785507531589
1,gradient-check,coarse,wave-packets,3,684,0.0054633785507531589,true,80,0.0075989455262371825,0.030504516301182526,0.16778111051653505,0.0070276673027361526,0.0022585205424541024,1.0076278907841536,1.0076278907841536,1,0.99573603003725453,1.0139181487837039,1.0309745462298285,3,8.9433062899531475,8.5983640229533282,8.5983640229533282,0.040000000000000001,false,-0.22139337217554977,0.0018267770660085464,7.4956315430516226e-16,1.8424037361508207e-16,6.8833827526759706e-15,0.2894474765288273,0.00075000000000000002,0.034717555622216428,9.8382423034109252e-06,0.15526162876781208,0,4,nan,false,false,1,amplification,nan
1,line-trial,coarse,wave-packets,3,684,0.023268079662691794,true,80,0.020671368515710005,0.061505611928565664,0.1657282660575766,0.019409917686580111,0.008761129339487422,1.0208865010581718,1.0208865010581718,1.0005220212019053,0.99775548767773259,1.0911958495399272,1.0634364644415264,6,8.2065651629534653,8.3395014108659442,7.6987079794950075,0.039500000000000007,false,-0.2106732753423663,0.0018025234352244469,4.7185754061296601e-16,1.2687593057315719e-16,8.3266726846886741e-15,0.28903259435218298,0.00075000000000000002,0.034717555622216428,9.8382423034109252e-06,0.15526162876781208,0.12,5,nan,false,false,1,amplification,nan
1,accepted,coarse,wave-packets,3,684,0.023268079662691794,true,80,0.020671368515710005,0.061505611928565664,0.1657282660575766,0.019409917686580111,0.008761129339487422,1.0208865010581718,1.0208865010581718,1.0005220212019053,0.99775548767773259,1.0911958495399272,1.0634364644415264,6,8.2065651629534653,8.3395014108659442,7.6987079794950075,0.039500000000000007,false,-0.2106732753423663,0.0018025234352244469,4.7185754061296601e-16,1.2687593057315719e-16,8.3266726846886741e-15,0.28903259435218298,0.00075000000000000002,0.034717555622216428,9.8382423034109252e-06,0.15526162876781208,0.12,5,nan,false,false,1,amplification,nan
1,fine-check,fine,wave-packets,3,684,0.030128790895079513,true,127,0.020801401245029816,0.062209985506844895,0.0001027043994259724,0.020623196335911725,0.0094186351670999362,1.0210192583474393,1.0210192583474393,1.0005129137643503,0.99767163402953363,1.1281189290844855,1.0641857848590288,6,8.2232272255068359,8.3199464053324483,7.6963118555296628,0.039126227806813178,false,-0.20438183399656268,1.0270967370336541e-06,5.2738161454430681e-16,2.5089900074353683e-16,2.19824158875781e-14,0.34999999999999998,0.0022092247041307867,nan,nan,nan,0,6,-0.21569432301235023,true,false,1,amplification,0.023268079662691794
1,start-selected,coarse,wave-packets,3,684,0.023268079662691794,true,80,0.020671368515710005,0.061505611928565664,0.1657282660575766,0.019409917686580111,0.008761129339487422,1.0208865010581718,1.0208865010581718,1.0005220212019053,0.99775548767773259,1.0911958495399272,1.0634364644415264,6,8.2065651629534653,8.3395014108659442,7.6987079794950075,0.039500000000000007,false,-0.2106732753423663,0.0018025234352244469,4.7185754061296601e-16,1.2687593057315719e-16,8.3266726846886741e-15,0.28903259435218298,0.00075000000000000002,nan,nan,nan,0,6,-0.21569432301235023,true,false,1,amplification,0.023268079662691794
1,start-fine-validation,fine,wave-packets,3,684,0.030128790895079513,true,127,0.020801401245029816,0.062209985506844895,0.0001027043994259724,0.020623196335911725,0.0094186351670999362,1.0210192583474393,1.0210192583474393,1.0005129137643503,0.99767163402953363,1.1281189290844855,1.0641857848590288,6,8.2232272255068359,8.3199464053324483,7.6963118555296628,0.039126227806813178,false,-0.20438183399656268,1.0270967370336541e-06,5.2738161454430681e-16,2.5089900074353683e-16,2.19824158875781e-14,0.34999999999999998,0.0022092247041307867,nan,nan,nan,0,6,-0.21569432301235023,true,false,1,amplification,0.023268079662691794
1,selected,coarse,wave-packets,3,684,0.023268079662691794,true,80,0.020671368515710005,0.061505611928565664,0.1657282660575766,0.019409917686580111,0.008761129339487422,1.0208865010581718,1.0208865010581718,1.0005220212019053,0.99775548767773259,1.0911958495399272,1.0634364644415264,6,8.2065651629534653,8.3395014108659442,7.6987079794950075,0.039500000000000007,false,-0.2106732753423663,0.0018025234352244469,4.7185754061296601e-16,1.2687593057315719e-16,8.3266726846886741e-15,0.28903259435218298,0.00075000000000000002,nan,nan,nan,0,6,-0.21569432301235023,true,false,1,amplification,0.023268079662691794
1,fine-validation,fine,wave-packets,3,684,0.030128790895079513,true,127,0.020801401245029816,0.062209985506844895,0.0001027043994259724,0.020623196335911725,0.0094186351670999362,1.0210192583474393,1.0210192583474393,1.0005129137643503,0.99767163402953363,1.1281189290844855,1.0641857848590288,6,8.2232272255068359,8.3199464053324483,7.6963118555296628,0.039126227806813178,false,-0.20438183399656268,1.0270967370336541e-06,5.2738161454430681e-16,2.5089900074353683e-16,2.19824158875781e-14,0.34999999999999998,0.0022092247041307867,nan,nan,nan,0,6,-0.21569432301235023,true,false,1,amplification,0.023268079662691794
