family,source_grid,simulation_cutoff,seed_bandwidth,target_energy,kx,ky,kz,ux_real,ux_imag,uy_real,uy_imag,uz_real,uz_imag
wave-packets,16,5,3,10,0,0,1,-0.075967590540152286,0.21751755341254975,0.067132889198057544,-0.18364926132191162,0,0
wave-packets,16,5,3,10,0,0,2,0.052334206498351153,-0.16381280902729298,-0.062264867387180164,0.18845945954252294,0,0
wave-packets,16,5,3,10,0,0,3,-0.0010540779872788566,0.016786907867397231,0.017855689589296623,-0.060868227128212361,0,0
wave-packets,16,5,3,10,0,0,-3,-0.0010540779872788566,-0.016786907867397231,0.017855689589296623,0.060868227128212361,0,0
wave-packets,16,5,3,10,0,0,-2,0.052334206498351153,0.16381280902729298,-0.062264867387180164,-0.18845945954252294,0,0
wave-packets,16,5,3,10,0,0,-1,-0.075967590540152286,-0.21751755341254975,0.067132889198057544,0.18364926132191162,0,0
wave-packets,16,5,3,10,0,1,0,-0.0047167023126419355,-0.25594720250395847,0,0,-0.072089286426003374,0.34079471393954697
wave-packets,16,5,3,10,0,1,1,0.02328710393076228,0.018704007926560854,-0.1875151069978673,0.65457830492106972,0.1875151069978673,-0.65457830492106972
wave-packets,16,5,3,10,0,1,2,-0.0053012772085598335,0.024818835711954243,0.14480060649612295,-0.49211856172855267,-0.072400303248061473,0.24605928086427634
wave-packets,16,5,3,10,0,1,3,-0.020364366441398093,0.026623515621181787,-0.044965245062456326,0.16436866138673425,0.014988415020818779,-0.054789553795578094
wave-packets,16,5,3,10,0,1,-3,-0.0077822104943949099,-0.0044558389617806136,-0.0057236282833980738,-0.012279018762980777,-0.001907876094466025,-0.0040930062543269256
wave-packets,16,5,3,10,0,1,-2,-0.018759528299920499,-0.091615179728849319,0.016747386058635357,0.042386949945994332,0.0083736930293176783,0.021193474972997166
wave-packets,16,5,3,10,0,1,-1,0.038242051842995846,0.19017163955129229,-0.0068177610947153964,-0.058292872998053004,-0.0068177610947153964,-0.058292872998053004
