resolution,snapshot,time,critical_log_rate,soft_minimum_weight
coarse,0,0.029999999999999999,1.546954935427922,0.090817113569106434
coarse,1,0.033750000000000002,1.5636361657723179,0.076863831927608456
coarse,2,0.037499999999999999,1.5701166531305863,0.072040651672772946
coarse,3,0.041249999999999995,1.5675446140480087,0.073917599837671447
coarse,4,0.044999999999999998,1.5570753417374532,0.082075838547791005
coarse,5,0.048750000000000002,1.5398304267824785,0.09752344686241364
coarse,6,0.052499999999999998,1.5168640427676607,0.12270175685135164
coarse,7,0.056249999999999994,1.4891374805599775,0.16190703167604223
coarse,8,0.059999999999999998,1.45750319835103,0.22215272905524228
fine,0,0.029999999999999999,1.5469630115857016,0.091222756334531835
fine,1,0.033750000000000002,1.5636539557322504,0.07719965172617127
fine,2,0.037499999999999999,1.5701535149830366,0.072341600660995833
fine,3,0.041249999999999995,1.5676170115338286,0.074200017623423126
fine,4,0.044999999999999998,1.5572109420375055,0.082337370621719558
fine,5,0.048750000000000002,1.5400737249136851,0.097728893657358262
fine,6,0.052499999999999998,1.5172833398473531,0.12274402686959716
fine,7,0.056249999999999994,1.4898321997475843,0.16151734003682644
fine,8,0.059999999999999998,1.4586092390433261,0.22070834246937659
