iteration,stage,resolution,initial_family,seed_bandwidth,real_degrees_of_freedom,objective,valid,steps,critical_log_growth,characteristic_log_growth,cutoff_penalty,profile_shape_penalty,profile_path_penalty,peak_h_half_ratio,final_h_half_ratio,peak_l3_ratio,final_l3_ratio,peak_vorticity_ratio,characteristic_ratio,profile_scale_windows,first_profile_drift,latest_profile_drift,minimum_profile_drift,latest_profile_window_time,profile_stationarity_improving,search_score,peak_cutoff_fraction,max_divergence_defect,max_reality_defect,max_energy_balance_residual,max_cfl_bound,max_viscous_number,constrained_gradient_norm,gradient_relative_error,gradient_slope,line_angle,trajectory_count,pair_search_score,preliminary_cross_resolution_ok,refinement_eligible,start_index,search_track,selection_score
0,initial,coarse,orthogonal-bundle,3,684,-0.00010641219174189857,true,80,0.0073684083557942004,0.030026957799929543,0.29947160543813822,0.0065557569228172179,0.0021512067178994614,1.0073956218756899,1.0073956218756899,1,0.99305149159643813,1.1256162558220109,1.0304823131151106,3,8.6759807932479376,5.2072491466823285,5.2072491466823285,0.040000000000000001,false,-0.15636530379062202,0.00349145737930451,3.3766115072321297e-16,2.4989653548369998e-16,2.7816290937288102e-15,0.33108634856257119,0.00075000000000000002,nan,nan,nan,0,1,nan,false,false,1,amplification,nan
0,fine-check,fine,orthogonal-bundle,3,684,0.012328115018128038,true,145,0.0076378905504619751,0.031318578914781153,0.00018905923877776145,0.0093936829072435099,0.0032141705971411834,1.007667133640922,1.007667133640922,1,0.99311455252590031,1.1616968433108423,1.0318141657685564,3,8.6955932607997664,5.1884177557653022,5.1884177557653022,0.039063659814906553,false,-0.14588780385824765,1.8907711160196815e-06,4.7266042096723034e-16,1.2794688166302258e-16,3.2581576325796391e-14,0.34999999999999998,0.0019244523763271453,nan,nan,nan,0,2,-0.16556844786512603,true,false,1,amplification,-0.00010641219174189857
1,gradient-check,coarse,orthogonal-bundle,3,684,-0.00010641219174189857,true,80,0.0073684083557942004,0.030026957799929543,0.29947160543813822,0.0065557569228172179,0.0021512067178994614,1.0073956218756899,1.0073956218756899,1,0.99305149159643813,1.1256162558220109,1.0304823131151106,3,8.6759807932479376,5.2072491466823285,5.2072491466823285,0.040000000000000001,false,-0.15636530379062202,0.00349145737930451,3.3766115072321297e-16,2.4989653548369998e-16,2.7816290937288102e-15,0.33108634856257119,0.00075000000000000002,0.028963245038876276,8.6292093129833631e-06,0.12952756951182184,0,4,nan,false,false,1,amplification,nan
1,line-trial,coarse,orthogonal-bundle,3,684,0.01389375347018513,true,80,0.015979748829886564,0.048259059282289893,0.23312135630112293,0.0096618716955664263,0.0035041405068684736,1.0161081078195904,1.0161081078195904,1,0.99280443592496559,1.2360567172698076,1.0494424879302982,4,10.520890539745599,7.497318990640971,7.497318990640971,0.035500000000000004,false,-0.18388178444847292,0.0026253468657034275,2.8271735347800704e-16,1.2586013583571652e-16,1.2139594884885696e-14,0.32562268818886003,0.00075000000000000002,0.028963245038876276,8.6292093129833631e-06,0.12952756951182184,0.12,5,nan,false,false,1,amplification,nan
1,accepted,coarse,orthogonal-bundle,3,684,0.01389375347018513,true,80,0.015979748829886564,0.048259059282289893,0.23312135630112293,0.0096618716955664263,0.0035041405068684736,1.0161081078195904,1.0161081078195904,1,0.99280443592496559,1.2360567172698076,1.0494424879302982,4,10.520890539745599,7.497318990640971,7.497318990640971,0.035500000000000004,false,-0.18388178444847292,0.0026253468657034275,2.8271735347800704e-16,1.2586013583571652e-16,1.2139594884885696e-14,0.32562268818886003,0.00075000000000000002,0.028963245038876276,8.6292093129833631e-06,0.12952756951182184,0.12,5,nan,false,false,1,amplification,nan
1,fine-check,fine,orthogonal-bundle,3,684,0.023532110916672046,true,141,0.016161477162673438,0.049168984380886696,0.00011784757835995978,0.012137498894738426,0.0045157255003303162,1.016292780231552,1.016292780231552,1,0.99293611533168424,1.2267982796693104,1.0503978365715367,4,10.525918186183087,7.5129867047490908,7.5129867047490908,0.034843551037603275,false,-0.17712370074962483,1.1785452265860934e-06,4.002966042486721e-16,1.1281038941802426e-16,4.0724368322031523e-14,0.35000000000000009,0.0019883336613007014,nan,nan,nan,0,6,-0.19093374549115419,true,false,1,amplification,0.01389375347018513
1,start-selected,coarse,orthogonal-bundle,3,684,0.01389375347018513,true,80,0.015979748829886564,0.048259059282289893,0.23312135630112293,0.0096618716955664263,0.0035041405068684736,1.0161081078195904,1.0161081078195904,1,0.99280443592496559,1.2360567172698076,1.0494424879302982,4,10.520890539745599,7.497318990640971,7.497318990640971,0.035500000000000004,false,-0.18388178444847292,0.0026253468657034275,2.8271735347800704e-16,1.2586013583571652e-16,1.2139594884885696e-14,0.32562268818886003,0.00075000000000000002,nan,nan,nan,0,6,-0.19093374549115419,true,false,1,amplification,0.01389375347018513
1,start-fine-validation,fine,orthogonal-bundle,3,684,0.023532110916672046,true,141,0.016161477162673438,0.049168984380886696,0.00011784757835995978,0.012137498894738426,0.0045157255003303162,1.016292780231552,1.016292780231552,1,0.99293611533168424,1.2267982796693104,1.0503978365715367,4,10.525918186183087,7.5129867047490908,7.5129867047490908,0.034843551037603275,false,-0.17712370074962483,1.1785452265860934e-06,4.002966042486721e-16,1.1281038941802426e-16,4.0724368322031523e-14,0.35000000000000009,0.0019883336613007014,nan,nan,nan,0,6,-0.19093374549115419,true,false,1,amplification,0.01389375347018513
1,selected,coarse,orthogonal-bundle,3,684,0.01389375347018513,true,80,0.015979748829886564,0.048259059282289893,0.23312135630112293,0.0096618716955664263,0.0035041405068684736,1.0161081078195904,1.0161081078195904,1,0.99280443592496559,1.2360567172698076,1.0494424879302982,4,10.520890539745599,7.497318990640971,7.497318990640971,0.035500000000000004,false,-0.18388178444847292,0.0026253468657034275,2.8271735347800704e-16,1.2586013583571652e-16,1.2139594884885696e-14,0.32562268818886003,0.00075000000000000002,nan,nan,nan,0,6,-0.19093374549115419,true,false,1,amplification,0.01389375347018513
1,fine-validation,fine,orthogonal-bundle,3,684,0.023532110916672046,true,141,0.016161477162673438,0.049168984380886696,0.00011784757835995978,0.012137498894738426,0.0045157255003303162,1.016292780231552,1.016292780231552,1,0.99293611533168424,1.2267982796693104,1.0503978365715367,4,10.525918186183087,7.5129867047490908,7.5129867047490908,0.034843551037603275,false,-0.17712370074962483,1.1785452265860934e-06,4.002966042486721e-16,1.1281038941802426e-16,4.0724368322031523e-14,0.35000000000000009,0.0019883336613007014,nan,nan,nan,0,6,-0.19093374549115419,true,false,1,amplification,0.01389375347018513
